player,position,team,age,club,birth_year,description,image
Tarek Salman,DF,Qatar,25,Al Sadd SC,1997,"Tarek Salman is a defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.","https://digitalhub.fifa.com/transform/02b0cbbb-9e1c-46b7-a625-45393ead806e/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Tariq Lamptey,DF,Ghana,22,Brighton,2000,"Tariq Lamptey is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Teun Koopmeiners,MF,Netherlands,24,Atalanta,1998,"Teun Koopmeiners is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/d18a36e7-630f-4e8e-a8fe-109c7b96f370/1442170434?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Theo Hernández,DF,France,25,Milan,1997,"Theo Hernández is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.","https://digitalhub.fifa.com/transform/664b630b-7453-4444-b65f-c85f32b7bba7/1442233207?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Paulo Dybala,FW,Argentina,29,Roma,1993,"Paulo Dybala is a versatile forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/ca25a965-d216-44dc-b256-cc708605d2fc/1442740796?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Rodrygo,FW,Brazil,21,Real Madrid,2001,"Rodrygo is a forward known for his dribbling ability, pace, and flair. He contributes to his team's offensive movements with creativity and agility.","https://digitalhub.fifa.com/transform/f03a612a-1563-4fd2-93d4-85f2b53da0b3/1443021592?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thibaut Courtois,GK,Belgium,30,Real Madrid,1992,"Thibaut Courtois is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/0ac06079-73ec-4dd4-a0ca-77e9c79cb411/1442830156?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thilo Kehrer,DF,Germany,26,West Ham,1996,"Thilo Kehrer is a defender known for his defensive attributes, composure on the ball, and versatility. He contributes to both defense and midfield play.","https://digitalhub.fifa.com/transform/243ea485-7ae6-45e4-9a45-a8ceb7383538/1442304875?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thomas Delaney,MF,Denmark,31,Sevilla,1991,"Thomas Delaney is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.",
Thomas Meunier,DF,Belgium,31,Dortmund,1991,"Thomas Meunier is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.","https://digitalhub.fifa.com/transform/e2f176f4-542a-4aaa-82b0-0348fc5c0367/1442831098?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thomas Müller,FW,Germany,33,Bayern Munich,1989,"Thomas Müller is a forward known for his movement off the ball, creativity, and goal-scoring prowess. He contributes to offensive movements with intelligence and vision.","https://digitalhub.fifa.com/transform/71b43d35-b1ab-4185-924a-634a94458617/1442303887?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thomas Partey,MF,Ghana,29,Arsenal,1993,"Thomas Partey is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/f941d141-fb07-4b32-87fe-67fb5bed1fc1/1443095587?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thorgan Hazard,FW,Belgium,29,Dortmund,1993,"Thorgan Hazard is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and vision.","https://digitalhub.fifa.com/transform/3741a815-1de2-424d-811a-d1385a11a5ce/1442831048?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Tim Ream,DF,United States,35,Fulham,1987,"Tim Ream is a defender known for his defensive attributes, composure on the ball, and versatility. He contributes to both defense and midfield play.",
Timothy Castagne,DF,Belgium,27,Leicester City,1995,"Timothy Castagne is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.","https://digitalhub.fifa.com/transform/ff063eea-bf14-42ea-9095-fb0a8aba2431/1442830230?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Timothy Weah,FW,United States,22,Lille,2000,"Timothy Weah is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Toby Alderweireld,DF,Belgium,33,Antwerp,1989,"Toby Alderweireld is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/dc6a2ee5-576e-406b-86ef-39e0f8052f1c/1442831258?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Trent Alexander-Arnold,DF,England,24,Liverpool,1998,"Trent Alexander-Arnold is a full-back known for his defensive skills, crossing ability, and playmaking from deep areas. He contributes to both defense and attack.","https://digitalhub.fifa.com/transform/a4385ada-6bda-40cd-b8f3-7fe4cdd0ca40/1441945174?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Tyler Adams,MF,United States,23,Leeds United,1999,"Tyler Adams is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.",
Unai Simón,GK,Spain,25,Athletic Club,1997,"Unai Simón is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/3996caf6-8de6-4cc9-b320-43269c6a8b68/1442550448?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Uriel Antuna,FW,Mexico,25,Cruz Azul,1997,"Uriel Antuna is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Vanja Milinković-Savić,GK,Serbia,25,Torino,1997,"Vanja Milinković-Savić is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.",
Victor Nelsson,DF,Denmark,24,Galatasaray,1998,"Victor Nelsson is a central defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.",
Vincent Aboubakar,FW,Cameroon,30,Al-Nassr,1992,"Vincent Aboubakar is a forward known for his goal-scoring abilities, movement in the box, and composure in front of goal. He offers a target in the box and contributes to offensive movements.","https://digitalhub.fifa.com/transform/0fb327ff-be98-417d-ad8d-4f9c34bc6493/1443093024?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Vincent Janssen,FW,Netherlands,28,Antwerp,1994,"Vincent Janssen is a forward known for his physical presence, hold-up play, and goal-scoring abilities. He offers a target in the box and contributes to offensive movements.","https://digitalhub.fifa.com/transform/91cf1acf-675b-4bd8-893b-ecec7d558d45/1442171035?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Thiago Silva,DF,Brazil,38,Chelsea,1984,"Thiago Silva is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/328d2c02-44e8-479c-97e1-764e3affac8c/1443023175?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Virgil van Dijk,DF,Netherlands,31,Liverpool,1991,"Virgil van Dijk is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/6f9fe4b0-eea8-492f-9405-6c81fdd1710a/1442168748?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Vitinha,MF,Portugal,22,Paris S-G,2000,"Vitinha is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/827510dd-33d7-4ef8-b918-f7a299d12099/1442848694?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Wahbi Khazri,FW,Tunisia,31,Montpellier,1991,"Wahbi Khazri is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and vision.",
Wajdi Kechrida,DF,Tunisia,27,Atromitos,1995,"Wajdi Kechrida is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Azzedine Ounahi,MF,Morocco,22,Angers,2000,Azzedine Ounahi is a footballer known for his technical skills and creativity in the attack. He contributes to his team's offensive movements with his flair and playmaking abilities.,"https://digitalhub.fifa.com/transform/ea14d344-4dc1-460c-9923-d8a485c894eb/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Walker Zimmerman,DF,United States,29,Nashville,1993,"Walker Zimmerman is a central defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.",
Wataru Endo,MF,Japan,29,Stuttgart,1993,"Wataru Endo is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Wayne Hennessey,GK,Wales,35,Nott'ham Forest,1987,"Wayne Hennessey is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.",
Weston McKennie,MF,United States,24,Juventus,1998,"Weston McKennie is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/da55bf89-5fe5-49b0-b228-fa159a0a1dfe/1441722790?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
William Carvalho,MF,Portugal,30,Betis,1992,"William Carvalho is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/89980cdc-a356-443f-8ca8-38dbd2862f35/1442847659?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
William Saliba,DF,France,21,Arsenal,2001,"William Saliba is a central defender known for his defensive attributes, composure on the ball, and versatility. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/5f40241a-288d-4ef6-a666-e023f874649d/1442233272?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Wojciech Szczęsny,GK,Poland,32,Juventus,1990,"Wojciech Szczęsny is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/644f5162-40a2-48ba-b2d1-dab9e72cb5df/1442522727?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Wout Weghorst,FW,Netherlands,30,Beşiktaş,1992,"Wout Weghorst is a forward known for his physical presence, aerial ability, and goal-scoring prowess. He contributes to offensive movements with his positioning and finishing.","https://digitalhub.fifa.com/transform/b4ce5639-88e8-4cee-b21b-cb5b57f59e70/1442168685?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Vinicius Júnior,FW,Brazil,22,Real Madrid,2000,"Vinicius Júnior is a forward known for his dribbling ability, flair, and goal-scoring prowess. He contributes to his team's offensive movements with agility and creativity.","https://digitalhub.fifa.com/transform/f7e48956-e85e-403d-b728-2b2f3a6419ec/1443025821?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Xavi Simons,FW,Netherlands,19,PSV Eindhoven,2003,"Xavi Simons is a midfielder known for his passing accuracy, technical skills, and playmaking abilities. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/3256af6a-5bc1-4f81-84b7-526c4aa49f2e/1442169724?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
